"move.count","my.x","my.y","next.x","next.y","visits","utility"
2,"0","0","1","2",240,0.504166666666667
2,"0","0","2","1",224,0.504464285714286
2,"0","1","1","3",170,0.505882352941176
2,"0","1","2","0",135,0.540740740740741
2,"0","1","2","2",159,0.440251572327044
2,"0","2","1","0",108,0.398148148148148
2,"0","2","1","4",110,0.445454545454545
2,"0","2","2","1",119,0.411764705882353
2,"0","2","2","3",135,0.392592592592593
2,"0","3","1","1",79,0.607594936708861
2,"0","3","1","5",76,0.578947368421053
2,"0","3","2","2",113,0.548672566371681
2,"0","3","2","4",92,0.543478260869565
2,"0","4","1","2",61,0.573770491803279
2,"0","4","1","6",80,0.6125
2,"0","4","2","3",85,0.623529411764706
2,"0","4","2","5",86,0.558139534883721
2,"0","5","1","3",133,0.518796992481203
2,"0","5","2","4",147,0.585034013605442
2,"0","5","2","6",112,0.580357142857143
2,"0","6","1","4",181,0.519337016574586
2,"0","6","2","5",211,0.469194312796209
2,"1","0","0","2",96,0.5625
2,"1","0","2","2",141,0.404255319148936
2,"1","0","3","1",131,0.435114503816794
2,"1","1","0","3",159,0.628930817610063
2,"1","1","2","3",120,0.433333333333333
2,"1","1","3","0",124,0.475806451612903
2,"1","1","3","2",125,0.528
2,"1","2","0","0",39,0.641025641025641
2,"1","2","0","4",83,0.457831325301205
2,"1","2","2","0",76,0.539473684210526
2,"1","2","2","4",91,0.461538461538462
2,"1","2","3","1",104,0.471153846153846
2,"1","2","3","3",63,0.444444444444444
2,"1","3","0","1",46,0.782608695652174
2,"1","3","0","5",68,0.617647058823529
2,"1","3","2","1",72,0.569444444444444
2,"1","3","2","5",68,0.514705882352941
2,"1","3","3","2",86,0.476744186046512
2,"1","3","3","4",60,0.45
2,"1","4","0","2",102,0.568627450980392
2,"1","4","0","6",60,0.466666666666667
2,"1","4","2","2",98,0.387755102040816
2,"1","4","2","6",76,0.368421052631579
2,"1","4","3","3",76,0.578947368421053
2,"1","4","3","5",115,0.434782608695652
2,"1","5","0","3",127,0.511811023622047
2,"1","5","2","3",103,0.368932038834951
2,"1","5","3","4",95,0.526315789473684
2,"1","5","3","6",107,0.579439252336449
2,"1","6","0","4",99,0.545454545454545
2,"1","6","2","4",101,0.544554455445545
2,"1","6","3","5",144,0.513888888888889
2,"2","0","0","1",125,0.464
2,"2","0","1","2",103,0.524271844660194
2,"2","0","3","2",136,0.426470588235294
2,"2","0","4","1",116,0.413793103448276
2,"2","1","0","0",49,0.551020408163265
2,"2","1","0","2",66,0.575757575757576
2,"2","1","1","3",115,0.539130434782609
2,"2","1","3","3",63,0.492063492063492
2,"2","1","4","0",79,0.518987341772152
2,"2","1","4","2",100,0.55
2,"2","2","0","1",36,0.638888888888889
2,"2","2","0","3",55,0.690909090909091
2,"2","2","1","0",45,0.444444444444444
2,"2","2","1","4",64,0.484375
2,"2","2","3","0",72,0.513888888888889
2,"2","2","3","4",65,0.6
2,"2","2","4","1",59,0.525423728813559
2,"2","2","4","3",44,0.568181818181818
2,"2","3","0","2",32,0.71875
2,"2","3","0","4",39,0.538461538461538
